region;period;sector;value;unit;value_pCap;unit_pCap
CHA;2060;trn_shipping_intl;15220.2007444442;billion tkm/yr;12496.2775498628;tkm/yr pCap
CHA;2070;trn_aviation_intl;1542.7264017564;billion pkm/yr;1395.67296017788;pkm/yr pCap
CHA;2070;trn_freight;13688.3529013151;billion tkm/yr;12383.5723508636;tkm/yr pCap
CHA;2070;trn_pass;23238.2023624146;billion pkm/yr;21023.1254507854;pkm/yr pCap
CHA;2070;trn_shipping_intl;14139.3391137515;billion tkm/yr;12791.5703350777;tkm/yr pCap
CHA;2080;trn_aviation_intl;1395.72515141353;billion pkm/yr;1396.63931673324;pkm/yr pCap
CHA;2080;trn_freight;13437.6200441978;billion tkm/yr;13446.421351684;tkm/yr pCap
CHA;2080;trn_pass;22311.2941928587;billion pkm/yr;22325.9075365877;pkm/yr pCap
CHA;2080;trn_shipping_intl;13350.0947229775;billion tkm/yr;13358.8387035514;tkm/yr pCap
CHA;2090;trn_aviation_intl;1245.83427193781;billion pkm/yr;1385.30673724053;pkm/yr pCap
CHA;2090;trn_freight;13224.4173221202;billion tkm/yr;14704.9048377182;tkm/yr pCap
CHA;2090;trn_pass;21065.8288267628;billion pkm/yr;23424.1706594558;pkm/yr pCap
CHA;2090;trn_shipping_intl;12810.0988447113;billion tkm/yr;14244.2029682592;tkm/yr pCap
CHA;2100;trn_aviation_intl;1107.28927021286;billion pkm/yr;1364.50664595921;pkm/yr pCap
CHA;2100;trn_freight;13059.5628908517;billion tkm/yr;16093.2295085492;tkm/yr pCap
CHA;2100;trn_pass;19757.2837455244;billion pkm/yr;24346.7950987076;pkm/yr pCap
CHA;2100;trn_shipping_intl;12440.0557504168;billion tkm/yr;15329.8141724824;tkm/yr pCap
CHA;2110;trn_aviation_intl;1011.84351373159;billion pkm/yr;1350.18916527029;pkm/yr pCap
CHA;2110;trn_freight;13085.0309808668;billion tkm/yr;17460.4736975949;tkm/yr pCap
CHA;2110;trn_pass;18682.8476955455;billion pkm/yr;24930.1183360771;pkm/yr pCap
CHA;2110;trn_shipping_intl;12496.8393371719;billion tkm/yr;16675.5993828992;tkm/yr pCap
CHA;2130;trn_aviation_intl;890.210596187467;billion pkm/yr;1331.80773291534;pkm/yr pCap
CHA;2130;trn_freight;13324.5224808195;billion tkm/yr;19934.2741519364;tkm/yr pCap
CHA;2130;trn_pass;17094.5389813445;billion pkm/yr;25574.4419393352;pkm/yr pCap
CHA;2130;trn_shipping_intl;13037.6751212399;billion tkm/yr;19505.1335269083;tkm/yr pCap
CHA;2150;trn_aviation_intl;785.511601582661;billion pkm/yr;1315.39791868133;pkm/yr pCap
CHA;2150;trn_freight;13749.3663209443;billion tkm/yr;23024.3421043273;tkm/yr pCap
CHA;2150;trn_pass;15536.7896336724;billion pkm/yr;26017.5161079039;pkm/yr pCap
CHA;2150;trn_shipping_intl;14027.8174402521;billion tkm/yr;23490.6293266344;tkm/yr pCap
